#NAME	CopdIAA.1	CopdIAA.2	CopdIAA.3	CopdIAA.4	CopdPBS.1	CopdPBS.2	CopdPBS.3	CopdPBS.4	CtrlIAA.1	CtrlIAA.2	CtrlIAA.3	CtrlIAA.4	CtrlPBS.1	CtrlPBS.2	CtrlPBS.3	CtrlPBS.4
#CLASS	COPDIAA	COPDIAA	COPDIAA	COPDIAA	COPDPBS	COPDPBS	COPDPBS	COPDPBS	ControlIAA	ControlIAA	ControlIAA	ControlIAA	ControlPBS	ControlPBS	ControlPBS	ControlPBS
Aasdhppt	160	195	217	302	302	232	190	238	210	291	358	313	262	314	292	320
Aass	149	201	154	195	166	105	103	151	141	181	221	244	185	149	281	249
Aatf	294	230	261	349	319	323	224	298	265	259	317	370	258	395	359	391
Aatk	299	208	433	442	262	306	169	370	270	306	462	543	237	394	414	558
Abat	160	152	153	186	131	122	140	142	149	167	269	268	163	144	172	582
Abca1	792	1075	1673	1985	1609	823	821	1184	924	1441	1851	1872	1538	714	1981	2285
Abca12	0	0	0	0	2	1	0	2	0	0	0	1	0	0	2	1
Abca13	3	0	5	6	1	0	5	0	4	5	3	7	3	7	5	9
Abca14	2	1	9	1	6	2	2	6	3	5	5	3	4	1	6	8
Abca16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abca17	22	27	20	18	15	18	14	26	16	22	30	16	8	10	33	12
Abca2	1187	1101	1430	2100	1645	1413	1340	1487	1295	1313	2056	2544	1326	1332	1904	2162
Abca3	11591	14465	14822	18837	16091	14459	12153	14359	8696	10606	14179	20938	9632	11556	18025	16322
Abca4	165	192	155	210	151	199	100	127	106	177	206	147	163	147	189	214
Abca5	528	337	693	810	775	417	417	651	640	855	1067	998	895	692	1202	814
Abca6	41	59	60	48	37	35	26	46	28	59	132	67	65	71	73	228
Abca7	1036	1010	1195	1482	1340	1143	954	1209	862	1034	1463	1524	989	1491	1293	1553
Abca8a	738	445	1293	955	773	761	503	761	884	1305	1597	1564	1045	1090	1128	1433
Abca8b	142	163	249	269	161	145	117	187	272	327	429	426	237	331	324	407
Abca9	194	226	290	440	301	181	211	237	236	205	455	306	206	308	271	825
Abcb10	452	338	468	556	514	376	330	516	386	484	683	664	439	541	681	658
Abcb11	40	36	31	59	56	48	37	44	39	57	64	67	46	63	45	55
Abcb1a	368	290	548	495	339	332	205	466	384	444	749	796	461	471	710	837
Abcb1b	141	137	197	219	154	153	290	133	214	192	406	260	179	352	161	943
Abcb4	29	26	34	27	16	23	13	31	20	21	25	40	21	45	25	46
Abcb6	242	204	260	315	352	267	241	318	288	365	405	632	360	464	359	517
Abcb7	209	342	288	482	458	233	251	323	293	357	433	411	334	377	398	469
Abcb8	360	355	362	496	452	433	394	405	264	298	478	590	305	391	437	526
Abcb9	258	174	220	225	241	267	152	236	181	243	220	296	191	222	284	310
Abcc1	577	423	587	808	923	512	429	732	485	654	874	957	613	879	786	1225
Abcc10	105	134	161	156	169	140	139	147	89	168	186	209	127	141	160	159
Abcc12	1	1	6	1	0	1	1	1	1	4	2	0	3	1	0	3
Abcc2	73	51	72	62	63	57	51	64	49	64	53	82	53	60	70	76
Abcc3	890	874	1093	1134	1052	1058	836	1045	993	1264	1546	2211	1191	1907	1222	1428
Abcc4	226	243	258	403	428	240	213	313	224	231	388	461	253	375	350	416
Abcc5	1017	1030	1544	1890	1439	1179	1030	1295	1144	1391	1517	1991	1207	1237	1500	1846
Abcc6	21	12	7	12	13	17	10	11	20	16	23	27	13	7	19	22
Abcc8	18	17	9	28	72	30	13	38	8	27	13	27	25	18	19	33
Abcc9	87	52	122	153	92	91	56	119	154	157	188	211	152	118	153	312
Abcd1	1359	1120	1242	1356	1248	1416	1273	1182	783	917	1364	1312	845	1257	1078	1203
Abcd2	192	259	272	603	363	195	201	353	199	243	308	390	185	370	320	551
Abcd3	2524	3341	3239	3963	3698	2884	2343	3265	2139	2777	3155	4492	2529	2865	4151	3653
Abcd4	235	214	246	287	250	227	197	234	164	233	292	358	216	215	293	330
Abce1	696	769	907	1367	1193	734	710	982	889	1148	1432	1375	999	1373	1069	1211
Abcf1	2336	1887	2039	2805	2557	2405	2121	2402	2072	2053	2639	3158	2213	3125	2747	2798
Abcf2	1248	1080	1117	1357	1275	1317	1140	1172	1098	1101	1353	1621	1079	1493	1384	1348
Abcf3	1113	987	1001	1147	1055	1112	952	1090	817	967	1240	1394	970	1258	1165	1179
Abcg1	2734	3475	3489	5772	4405	3214	2958	3981	1806	1513	1740	4065	1381	1974	2519	3222
Abcg2	294	315	458	402	312	301	175	375	242	436	655	482	310	285	401	651
Abcg3	65	57	70	75	113	47	56	107	30	39	83	73	49	56	40	74
Abcg4	3	4	4	8	5	7	3	4	2	8	7	7	4	3	7	14
Abcg5	6	13	11	7	12	7	9	9	14	13	13	18	11	10	10	17
Abcg8	6	5	4	10	3	5	5	7	3	6	5	8	9	5	3	6
Abhd1	34	31	29	33	33	36	23	33	17	30	53	62	27	37	37	54
Abhd10	134	169	131	173	213	164	94	190	129	164	211	206	147	213	180	211
Abhd11	571	649	571	700	628	672	557	605	384	475	576	700	465	696	575	609
Abhd11os	35	33	28	41	35	63	43	46	28	42	37	45	30	37	41	52
Abhd12	1405	1362	1368	2119	1877	1580	1290	1496	817	916	1114	1635	814	1114	1382	1618
Abhd12b	7	8	11	11	11	13	6	15	5	24	12	15	27	13	12	8
Abhd13	508	626	691	1004	899	558	554	757	556	738	949	1009	714	836	909	1008
Abhd14a	250	200	237	278	194	239	251	247	223	298	362	377	262	310	249	381
Abhd14b	983	847	703	947	952	998	705	937	748	866	1014	1123	896	931	1049	1131
Abhd15	82	100	142	228	199	97	72	166	72	55	134	130	62	110	99	210
Abhd16a	2153	1623	1873	2396	2022	2119	1649	2060	1514	1900	2447	2590	1735	2142	2495	2811
Abhd16b	3	2	0	3	5	2	1	3	1	2	3	6	3	3	6	5
Abhd17a	2661	1982	2001	2910	2676	2709	2094	2364	1630	1800	2261	2592	1753	2482	2258	2532
Abhd17b	259	444	414	555	604	285	295	538	433	639	552	606	562	611	687	697
Abhd17c	1969	1495	1995	2432	2226	1944	1403	2001	1655	1814	2100	2603	1908	2030	2423	1934
Abhd18	22	42	54	41	37	26	27	47	20	79	57	47	36	49	65	75
Abhd2	4911	4667	6594	6897	6034	5138	4488	5932	4874	5330	7583	10407	4887	6415	8110	9610
Abhd3	41	39	46	135	133	47	50	137	87	162	136	199	117	163	109	156
Abhd4	1814	1561	1695	2016	1818	2087	1579	1677	1361	1519	1977	2230	1452	1731	1992	2334
Abhd5	1193	1423	1289	1820	1652	1376	1122	1322	950	1113	1283	1653	1062	1256	1431	1527
Abhd6	126	106	137	173	178	147	145	139	117	147	220	259	162	146	195	235
Abhd8	773	590	729	993	926	790	756	867	520	592	727	981	500	691	672	791
Abi1	1292	1259	1546	2179	1919	1153	1066	1790	1640	1775	2239	2114	1760	2013	2240	2705
Abi2	240	288	319	437	364	274	214	376	275	363	495	499	343	497	343	484
Abi3	1656	972	1335	1433	1263	1371	1361	1480	1211	1163	1677	2159	1059	2036	1506	1530
Abi3bp	393	461	757	799	580	442	313	593	720	691	1082	1010	656	462	973	1362
Abl1	1531	1354	1836	2215	1632	1755	1320	1703	1530	1556	2325	2571	1622	1622	2359	3016
Abl2	541	464	753	767	716	508	430	775	673	679	920	990	583	726	864	1072
Ablim1	2827	1928	3043	3664	3680	2722	2271	3719	2386	3419	4567	5090	3589	3717	4797	5309
Ablim2	71	46	57	62	51	71	51	70	81	64	74	118	67	44	92	120
Ablim3	2487	1186	1892	2052	1840	1720	1839	1806	3144	2513	3399	3423	2683	2370	3568	2901
Abo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abr	1473	1373	1657	2471	2205	1787	1322	1877	1184	1458	1996	2505	1309	1724	1911	2133
Abra	34	18	27	37	20	20	11	32	29	57	39	43	34	34	73	121
Abracl	541	658	609	917	869	483	415	698	513	668	705	560	525	764	557	669
Abraxas1	43	44	69	76	67	43	38	69	37	68	62	95	50	75	74	98
Abraxas2	444	470	471	689	621	508	432	571	432	549	669	714	517	647	657	712
Abt1	426	325	321	377	426	399	339	430	335	410	534	467	404	515	509	545
Abtb1	1153	1126	1047	1188	1120	1208	827	1135	723	958	1231	1066	966	1346	1044	1060
Abtb2	143	138	160	258	172	180	181	195	203	145	242	281	166	368	214	240
Acaa1a	4081	4353	3657	4981	4204	4697	3419	3815	2716	3311	3741	4203	3018	3965	3901	4090
Acaa1b	149	191	276	281	129	124	336	156	180	186	213	451	152	274	252	523
Acaa2	2603	2468	2300	2484	2564	2620	2060	2475	2092	2894	3423	3227	2453	2932	3497	4010
Acaca	1766	2021	2167	2749	2417	2174	1890	2270	1661	1755	2591	3904	1736	1872	3036	6162
Acacb	314	233	373	362	320	292	208	397	293	341	472	639	285	361	448	1215
Acad10	169	116	142	188	159	163	117	165	155	181	237	250	158	169	226	307
Acad11	371	399	420	576	474	419	363	492	395	476	618	743	438	546	555	609
Acad12	242	219	213	314	295	278	224	301	224	273	383	410	234	273	346	314
Acad8	426	436	444	560	507	459	410	439	386	475	580	635	427	510	547	648
Acad9	544	475	527	670	609	533	445	605	403	547	672	739	442	559	582	719
Acadl	1535	1662	1596	2140	2159	1630	1418	2003	1663	2277	2518	2651	1843	2524	2647	3265
Acadm	1171	1166	1101	1579	1564	1153	894	1404	1189	1640	1663	1885	1569	1402	1810	2338
Acads	888	843	626	1148	1048	978	791	894	529	591	629	973	556	842	793	965
Acadsb	977	1152	1329	1602	1533	897	895	1416	1296	1830	1841	1955	1597	1559	1857	2015
Acadvl	2170	2090	1893	2362	2342	2301	2185	2105	1878	2200	2678	2880	2008	2545	2596	3299
Acan	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acap1	350	304	316	602	578	320	239	478	132	157	229	241	200	461	232	458
Acap2	1054	1010	1460	1791	1472	818	669	1605	1437	1683	2449	2332	1569	1763	2242	2779
Acap3	569	462	588	720	505	622	507	554	475	463	607	750	385	614	582	588
Acat1	1093	1118	1094	1401	1375	1137	998	1297	1013	1438	1678	1737	1260	1514	1711	2101
Acat2	940	926	766	956	1077	964	614	983	637	877	1056	1225	832	860	1077	1209
Acat3	32	22	8	29	22	27	26	18	23	26	28	43	19	24	39	51
Acbd3	719	696	819	1084	1120	771	656	1050	968	949	1254	1469	1050	1153	1342	1301
Acbd4	580	498	557	584	553	632	510	555	351	517	732	680	475	538	558	984
Acbd5	773	838	914	1155	1215	580	689	1019	1235	1458	1153	1305	1420	1040	1867	1557
Acbd6	1126	882	916	1146	997	1056	814	1068	796	909	1023	1199	839	1093	1179	1363
Acbd7	1	5	2	2	5	3	0	1	3	5	4	4	3	1	2	2
Accs	136	134	145	186	144	157	88	150	55	90	109	145	92	82	124	201
Accsl	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	5
Acd	616	539	473	640	602	620	488	561	416	451	564	662	412	581	540	610
Ace	16394	8677	20044	17424	11741	15630	9177	18006	15709	15860	26688	31900	13743	18889	24424	27107
Ace2	171	236	168	276	235	235	158	258	253	436	523	436	419	479	342	350
Ace3	23	8	27	22	7	17	10	19	9	12	22	35	9	21	22	15
Acer2	2939	1652	3705	3174	2464	2568	1966	4290	4957	4830	6767	7527	3342	5962	5505	6423
Acer3	506	609	634	845	753	450	430	716	514	759	851	830	652	894	835	935
Ache	19	9	25	16	29	22	16	23	10	11	24	43	12	27	17	47
Acin1	2597	2185	2431	3158	3072	2672	2322	3093	2418	2889	3551	3885	2719	3474	3199	2929
Ackr1	36	26	24	31	30	49	74	27	1	11	7	9	5	17	6	27
Ackr2	475	197	592	531	363	379	229	576	547	622	1092	1127	493	1077	893	850
Ackr3	788	604	604	718	623	619	584	651	601	692	863	963	630	648	804	1344
Ackr4	73	81	98	75	69	98	74	114	42	107	88	78	50	38	74	107
Acly	4188	3915	4488	5758	5107	4542	3703	4820	3447	3772	5858	7952	3743	4567	6504	10714
Acmsd	0	2	6	1	2	4	5	7	2	6	4	3	3	6	4	8
Acnat1	2	2	2	5	6	3	5	6	4	9	2	15	3	6	5	5
Acnat2	4	2	6	6	3	2	2	5	5	5	8	8	4	2	2	5
Aco1	1307	1350	1351	1860	1631	1497	1288	1522	1096	1107	1553	1923	1098	1414	1508	1890
Aco2	3296	3029	3166	4479	4053	3621	3119	3718	3008	3270	4399	5616	3259	4187	4506	5621
Acod1	23	94	24	45	11	20	36	10	5	7	12	10	14	91	11	27
Acot1	997	1340	884	1184	1062	1006	735	1024	1090	1728	1756	1636	1292	1472	1971	1754
Acot10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acot11	323	278	403	511	359	398	324	399	215	325	446	596	345	290	471	376
Acot12	5	8	7	5	11	5	2	10	5	6	10	10	10	10	6	13
Acot13	391	453	390	550	506	453	335	512	387	543	534	618	458	499	573	623
Acot2	270	270	219	314	348	254	278	320	307	405	517	460	299	426	498	471
Acot3	8	4	6	5	4	0	2	3	4	4	8	8	7	7	5	9
Acot4	8	7	16	20	13	18	12	12	11	13	13	18	11	12	27	36
Acot6	32	28	30	54	47	33	24	36	30	55	56	49	38	33	44	58
Acot7	4097	4483	3849	4779	3592	4891	4259	3940	3009	2815	3807	5783	2731	4285	4789	3982
Acot8	343	342	261	363	392	377	305	342	260	299	398	414	304	388	368	355
Acot9	596	643	764	952	998	700	634	789	603	655	913	872	611	902	865	906
Acox1	2094	2084	2267	2919	2630	2338	1990	2416	1898	2181	2651	3440	2087	2655	2885	3892
Acox2	167	135	103	218	310	197	91	315	183	329	325	309	324	360	290	332
Acox3	907	930	978	1298	1284	1011	639	1099	522	636	820	949	566	793	849	887
Acoxl	1705	1941	2072	1848	1190	1634	1646	1967	1399	1613	2018	2588	1274	1810	2321	2057
Acp1	739	715	709	1042	1032	680	618	885	654	963	1055	1206	853	968	1071	1210
Acp2	803	849	941	1313	1165	923	836	963	614	789	994	1337	700	785	1005	1227
Acp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acp5	988	1116	922	1882	2199	1507	1150	1528	410	381	512	804	422	714	542	1506
Acp6	223	226	242	319	299	298	175	306	176	263	307	303	253	268	276	366
Acp7	5	2	0	4	37	6	1	23	7	14	1	18	9	14	9	15
Acpp	71	112	97	256	334	97	35	222	97	165	165	150	158	169	115	226
Acr	1	4	12	11	1	1	3	5	4	17	13	1	5	8	5	16
Acrbp	59	66	47	61	60	59	47	51	35	97	84	43	59	83	43	49
Acsbg1	93	148	131	290	410	109	57	195	30	32	52	39	32	66	68	93
Acsbg2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Acsf2	525	470	537	696	541	627	465	626	495	589	734	933	555	891	601	976
Acsf3	325	362	304	432	371	386	286	383	202	290	374	477	253	330	353	424
Acsl1	858	806	869	1205	1393	843	632	1233	817	1088	1336	1636	1167	1346	1208	3620
Acsl3	218	209	169	344	396	190	145	385	324	556	487	512	504	573	461	514
Acsl4	1669	2826	2658	3757	3258	1730	2013	2672	1907	2496	2760	3643	2060	2803	2957	2705
Acsl5	4270	4364	4288	6510	5867	4725	4061	5229	3886	4651	5377	7018	4324	4915	6095	5174
Acsl6	0	3	1	3	3	0	1	0	2	3	2	1	0	1	3	9
Acsm1	119	112	91	145	207	99	122	177	196	245	249	321	253	334	224	230
Acsm3	33	54	48	44	49	33	50	34	61	80	154	50	86	43	98	277
Acsm5	10	8	4	11	4	2	11	10	6	14	6	7	7	10	6	31
Acss1	1392	1635	1215	1918	2032	1490	1059	1778	1188	1707	1757	2247	1600	1749	1683	2096
Acss2	600	483	524	583	527	546	446	580	510	795	1073	982	788	1015	890	1985
Acss3	133	169	158	198	195	97	79	165	121	263	307	223	259	123	261	493
Acta1	5	3	2	5	13	2	5	0	3	10	6	10	30	1086	6	44
Acta2	826	574	809	819	739	940	785	1021	1000	1319	1599	1713	1368	1489	1486	1408
Actb	59262	51825	47249	66815	63436	60189	46940	58514	37333	41533	53843	60496	42370	71458	49069	51003
Actbl2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Actc1	186	123	218	167	279	140	80	409	361	428	264	748	376	438	519	912
Actg-ps1	0	2	4	0	2	6	0	1	2	2	2	7	4	9	4	3
Actg1	37729	37226	32153	44411	45170	40306	31497	39779	31749	32025	36703	46112	32635	53653	38907	43800
Actg2	98	64	109	85	67	83	65	136	122	186	185	227	203	196	184	149
Actl10	2	1	6	3	1	0	6	0	0	1	0	3	0	0	4	2
Actl6a	745	652	682	881	825	760	597	780	665	673	916	1086	725	988	921	915
Actl6b	1	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0
Actl7a	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Actl9	1	3	2	6	3	2	0	1	0	2	1	1	3	3	2	2
Actn1	2294	1971	2383	3418	3005	2499	1885	2864	2130	2934	3656	4323	2918	3277	3961	4307
Actn2	114	151	126	178	443	106	25	260	56	71	54	151	43	114	111	148
Actn3	13	25	25	19	19	14	19	17	28	21	37	27	19	50	20	76
Actn4	7956	7009	7925	10573	8784	8128	7642	8663	8260	8246	11885	14361	8382	9843	12290	15004
Actr10	980	988	988	1172	1228	973	790	1054	836	1023	1385	1257	993	1280	1232	1339
Actr1a	4050	3342	3772	4634	4234	4294	3438	4069	3306	3540	4514	5313	3502	4536	4612	5030
Actr1b	2607	2044	2309	2863	2547	2619	2272	2591	2418	2342	3099	3915	2430	3195	3393	3518
Actr2	3442	3890	3999	6311	5834	3097	2714	4580	3631	4499	5437	5300	4494	5498	5072	5554
Actr3	4673	5086	4797	7280	7592	4320	3512	5957	3576	3974	5685	5413	4401	8201	4937	5875
Actr3b	23	14	17	21	11	10	12	15	21	26	26	24	32	14	27	33
Actr5	330	257	226	342	330	340	242	329	196	269	317	328	235	330	303	395
Actr6	86	105	88	112	134	78	81	106	106	127	169	128	106	108	143	140
Actr8	572	534	599	805	704	590	485	659	550	638	783	874	589	706	838	809
Actrt3	0	2	2	1	2	0	0	2	0	0	0	0	0	0	0	1
Acvr1	387	412	478	528	513	422	380	478	435	477	586	664	476	515	587	634
Acvr1b	960	820	1122	1365	1253	973	718	1268	710	1037	1293	1462	880	1221	1339	1293
Acvr1c	0	2	1	2	4	1	10	0	0	4	4	5	1	2	0	103
Acvr2a	191	242	285	377	285	180	203	264	286	442	421	371	346	317	422	396
Acvr2b	130	114	144	135	110	140	105	139	107	133	177	187	96	92	156	154
Acvrl1	10578	5113	10676	9625	7434	8606	6142	12308	9031	9214	14201	16142	6666	10929	11915	13772
Acy1	198	217	197	212	216	236	201	197	129	151	166	212	142	156	177	202
Acy3	250	174	150	226	198	251	156	216	134	172	196	233	157	147	205	233
Acyp1	151	169	190	266	233	164	144	234	189	213	247	265	225	262	264	268
Acyp2	66	114	96	135	133	90	97	126	121	167	178	159	187	130	165	195
Ada	128	69	99	114	122	97	94	109	154	123	183	195	102	277	155	258
Adal	77	68	71	115	105	92	87	89	101	124	143	153	109	123	128	128
Adam10	1360	1503	1929	2828	2342	1432	1209	1855	1493	1754	2156	2415	1614	1703	2184	2517
Adam11	21	20	18	27	16	30	21	27	15	19	24	47	22	17	23	51
Adam12	37	59	59	75	142	47	23	86	33	18	36	36	15	21	33	77
Adam15	4055	2860	3614	4324	3413	3692	2998	3857	3049	3228	4253	5457	2994	4139	4266	6146
Adam17	890	998	1259	1950	1556	1031	888	1401	913	1138	1471	1692	1078	1329	1339	1465
Adam18	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1
Adam19	1274	2039	2101	2377	1767	1712	1292	1849	802	1179	1262	2071	987	1283	1906	1837
Adam1a	32	31	47	44	51	26	23	50	42	93	102	55	61	61	54	48
Adam1b	4	6	2	5	3	4	1	1	7	9	14	1	1	1	1	5
Adam20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam21	1	1	2	2	1	0	0	1	2	3	2	2	0	2	0	6
Adam22	107	140	132	172	202	103	99	175	179	273	276	392	206	226	296	314
Adam23	87	77	129	141	104	121	108	126	118	112	158	183	104	139	156	183
Adam28	129	116	83	242	402	133	91	281	204	418	325	418	401	360	296	410
Adam3	5	3	16	9	7	5	1	5	12	17	24	13	18	14	17	18
Adam30	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Adam32	4	5	1	2	2	3	3	8	3	8	4	5	4	3	5	10
Adam33	123	174	196	137	126	121	207	95	81	176	124	128	115	85	118	217
Adam4	4	5	9	3	3	2	4	3	3	6	5	4	8	4	4	5
Adam5	4	10	15	27	20	12	6	23	7	21	19	20	14	7	18	23
Adam6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam6b	0	1	0	1	0	0	0	2	1	0	0	0	1	1	1	1
Adam7	7	5	9	15	10	2	10	5	8	6	3	9	10	9	11	9
Adam8	373	430	357	890	1305	452	251	815	302	450	440	497	652	941	526	961
Adam9	1860	1713	2357	3413	3034	1893	1631	2522	2539	2717	3301	3814	2952	2510	3920	3544
Adamdec1	57	69	41	81	139	59	47	114	83	167	124	116	140	100	120	140
Adamts1	444	438	932	805	471	512	620	786	889	883	1149	1297	699	1416	1208	2294
Adamts10	1084	1105	1712	1791	1130	1260	895	1305	988	1602	1444	1669	1029	1420	1557	1562
Adamts12	20	34	53	73	32	43	19	24	15	30	26	41	34	14	20	96
Adamts13	3	3	1	6	1	12	0	4	8	1	2	7	1	3	3	5
Adamts14	64	29	95	94	49	49	33	94	39	57	132	89	68	126	72	114
Adamts15	761	609	1343	1338	846	751	582	774	2003	1458	2369	2120	1634	2022	1673	2501
Adamts16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
Adamts17	85	87	212	234	167	157	71	136	73	116	121	147	132	51	107	121
Adamts18	0	0	1	0	0	0	0	1	1	0	2	0	1	0	0	1
Adamts19	0	2	1	3	4	5	6	0	3	6	8	3	4	6	2	42
Adamts2	1346	1336	1956	2602	1625	1709	1181	1474	1456	1395	1661	2399	1213	1147	1619	2310
Adamts20	7	4	5	11	7	4	3	16	5	22	8	11	7	7	5	11
Adamts3	11	14	12	25	9	10	12	8	10	31	29	29	12	11	19	36
Adamts4	23	16	22	57	25	23	24	36	24	21	26	54	23	52	28	48
Adamts5	332	529	504	582	457	283	475	413	400	739	705	637	602	464	575	854
Adamts6	39	49	39	56	57	32	24	34	18	27	51	48	36	25	36	51
Adamts7	40	19	43	51	25	36	37	20	14	29	27	39	24	25	40	96
Adamts8	346	233	552	361	259	318	231	308	506	563	646	1015	445	440	396	490
Adamts9	275	242	321	518	381	240	280	390	716	550	804	891	526	696	653	696
Adamtsl1	510	645	654	778	356	423	529	369	457	604	978	830	476	329	764	1433
Adamtsl2	1293	839	1540	1646	1267	1203	856	1026	1319	1269	1605	2354	1241	1244	1356	1647
Adamtsl3	129	71	161	190	120	100	93	177	118	141	232	231	115	151	247	269
Adamtsl4	1331	836	1501	1802	1797	1426	1262	1642	1529	1664	2235	2613	1937	2054	2333	2293
Adamtsl5	604	372	622	550	426	545	473	625	603	711	1018	1106	556	835	915	1005
Adap1	512	469	332	621	505	492	503	415	170	186	290	281	190	553	248	397
Adap2	81	85	98	210	128	83	87	116	129	141	192	196	149	157	192	307
Adap2os	0	3	4	7	4	2	0	0	1	4	3	4	4	6	8	4
Adar	1944	1644	1248	1578	1454	1601	1496	1308	788	925	1316	1485	862	1330	1143	1285
Adarb1	1387	947	1473	1916	1140	1273	871	1192	1304	1441	1985	2208	1446	1092	1610	1749
Adarb2	5	1	4	3	4	1	3	2	1	2	3	5	4	3	1	3
Adat1	49	42	49	52	49	40	37	54	51	57	80	91	62	61	68	40
Adat2	57	36	39	51	65	62	40	54	23	42	60	56	50	48	38	64
Adat3	50	29	27	57	30	59	42	45	26	26	61	42	29	53	28	21
Adck1	262	255	241	358	342	317	240	269	214	215	301	372	220	270	312	312
Adck2	410	347	320	433	398	421	318	434	280	379	469	463	331	399	434	488
Adck5	352	338	312	397	373	442	357	333	230	389	386	344	301	346	370	371
Adcy1	18	7	22	42	21	30	6	27	29	26	41	47	44	27	24	31
Adcy10	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	4
Adcy2	274	145	272	333	231	259	172	248	394	397	633	524	333	388	499	429
Adcy3	417	413	561	1012	754	463	488	622	360	300	470	748	269	322	489	835
Adcy4	1814	920	1892	1609	1178	1462	1174	1931	1640	1804	2620	2729	1377	2082	2317	2397
Adcy5	472	298	504	690	460	473	594	505	649	583	914	1120	720	487	1021	1018
Adcy6	1000	1076	1275	1627	1422	1146	965	1441	1124	1227	1551	1945	1192	1204	1668	1981
Adcy7	1109	1375	1674	2255	1855	1352	1203	1517	804	983	1214	1997	887	1145	1637	1936
Adcy8	230	164	476	348	160	245	74	293	273	309	540	543	175	377	420	495
Adcy9	222	171	365	401	258	241	207	273	262	287	504	639	282	280	467	636
Adcyap1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1
Adcyap1r1	48	37	34	62	66	34	55	57	48	63	65	96	61	54	62	164
Add1	6099	4534	5616	6320	5506	5681	4542	5883	4857	5379	7054	7820	5153	5472	6962	8204
Add2	7	8	12	1	10	5	5	7	1	6	2	14	2	6	4	18
Add3	2229	1928	2665	2829	2521	1763	1538	2968	2373	2910	4276	4801	2518	3365	4005	5985
Adgb	85	79	80	142	208	89	48	177	111	274	267	262	234	222	210	272
Adgra1	2	0	1	0	1	0	0	1	0	1	1	0	0	0	1	3
